run,query_hash,time_ms
0,7bbef8ec,0
0,47387463,1
0,cd1bb66d,40
0,e49245cf,5
0,94acc2b9,51
0,b7329703,4
0,4ace2e25,2
0,b72911e3,2
0,5d2989b9,1
0,d8961263,1
0,9c5d9d2f,11
0,58f6671d,9
0,91467a8d,11
0,43748f56,0
0,33cadb91,1
0,c3146482,0
0,5d3e2646,0
0,3e323c88,0
1,7bbef8ec,0
1,47387463,2
1,cd1bb66d,36
1,e49245cf,1
1,94acc2b9,82
1,b7329703,24
1,4ace2e25,27
1,b72911e3,13
1,5d2989b9,0
1,d8961263,9
1,9c5d9d2f,25
1,58f6671d,14
1,91467a8d,20
1,43748f56,6
1,33cadb91,9
1,c3146482,0
1,5d3e2646,3
1,3e323c88,5
2,7bbef8ec,0
2,47387463,0
2,cd1bb66d,31
2,e49245cf,4
2,94acc2b9,155
2,b7329703,119
2,4ace2e25,76
2,b72911e3,43
2,5d2989b9,1
2,d8961263,15
2,9c5d9d2f,20
2,58f6671d,7
2,91467a8d,18
2,43748f56,8
2,33cadb91,12
2,c3146482,0
2,5d3e2646,6
2,3e323c88,5
3,7bbef8ec,0
3,47387463,0
3,cd1bb66d,15
3,e49245cf,1
3,94acc2b9,43
3,b7329703,12
3,4ace2e25,13
3,b72911e3,22
3,5d2989b9,0
3,d8961263,14
3,9c5d9d2f,12
3,58f6671d,7
3,91467a8d,16
3,43748f56,5
3,33cadb91,7
3,c3146482,0
3,5d3e2646,3
3,3e323c88,3

