run,query_hash,time_ms
0,7bbef8ec,0
0,47387463,0
0,e6b6adef,19
0,10b2d298,2
0,6f5c9f09,1205
0,fff78e66,496
0,ebdfe944,8
0,80fc9bf4,0
0,13a88290,17366
0,f4da9cd4,6
0,53c9b7f0,0
1,7bbef8ec,0
1,47387463,0
1,e6b6adef,16
1,10b2d298,1
1,6f5c9f09,1397
1,fff78e66,760
1,ebdfe944,9
1,80fc9bf4,0
1,13a88290,18348
1,f4da9cd4,4
1,53c9b7f0,0
2,7bbef8ec,0
2,47387463,0
2,e6b6adef,15
2,10b2d298,2
2,6f5c9f09,2071
2,fff78e66,1034
2,ebdfe944,9
2,80fc9bf4,0
2,13a88290,17775
2,f4da9cd4,5
2,53c9b7f0,0
3,7bbef8ec,0
3,47387463,0
3,e6b6adef,15
3,10b2d298,1
3,6f5c9f09,1475
3,fff78e66,957
3,ebdfe944,9
3,80fc9bf4,0
3,13a88290,20596
3,f4da9cd4,4
3,53c9b7f0,0
4,7bbef8ec,0
4,47387463,0
4,e6b6adef,15
4,10b2d298,2
4,6f5c9f09,1532
4,fff78e66,948
4,ebdfe944,9
4,80fc9bf4,0
4,13a88290,21002
4,f4da9cd4,5
4,53c9b7f0,0
