run,query_hash,time_ms
0,7bbef8ec,0
0,47387463,0
0,cd1bb66d,19
0,e49245cf,2
0,71400aa0,197
0,b7329703,113
0,4ace2e25,104
0,b72911e3,44
0,5d2989b9,2
0,d8961263,17
0,9c5d9d2f,13
0,58f6671d,3
0,91467a8d,11
0,58aa8142,7
0,33cadb91,10
0,c3146482,0
0,5d3e2646,3
0,3e323c88,6
1,7bbef8ec,0
1,47387463,0
1,cd1bb66d,15
1,e49245cf,2
1,71400aa0,208
1,b7329703,134
1,4ace2e25,128
1,b72911e3,52
1,5d2989b9,0
1,d8961263,19
1,9c5d9d2f,16
1,58f6671d,3
1,91467a8d,13
1,58aa8142,177
1,33cadb91,5
1,c3146482,0
1,5d3e2646,1
1,3e323c88,4
2,7bbef8ec,0
2,47387463,0
2,cd1bb66d,15
2,e49245cf,2
2,71400aa0,261
2,b7329703,182
2,4ace2e25,177
2,b72911e3,99
2,5d2989b9,0
2,d8961263,28
2,9c5d9d2f,265
2,58f6671d,4
2,91467a8d,21
2,58aa8142,34
2,33cadb91,5
2,c3146482,0
2,5d3e2646,1
2,3e323c88,4
3,7bbef8ec,0
3,47387463,0
3,cd1bb66d,19
3,e49245cf,2
3,71400aa0,324
3,b7329703,129
3,4ace2e25,186
3,b72911e3,129
3,5d2989b9,0
3,d8961263,238
3,9c5d9d2f,55
3,58f6671d,5
3,91467a8d,37
3,58aa8142,36
3,33cadb91,8
3,c3146482,0
3,5d3e2646,2
3,3e323c88,6
4,7bbef8ec,0
4,47387463,0
4,cd1bb66d,15
4,e49245cf,2
4,71400aa0,50
4,b7329703,9
4,4ace2e25,9
4,b72911e3,1
4,5d2989b9,0
4,d8961263,35
4,9c5d9d2f,66
4,58f6671d,212
4,91467a8d,28
4,58aa8142,0
4,33cadb94,1
4,c3146482,17
4,5d3e2646,0
4,3e323c88,0

