run,query_hash,time_ms
0,7bbef8ec,0
0,47387463,0
0,cd1bb66d,35
0,e49245cf,8
0,9bcc04b3,364
0,b7329703,214
0,4ace2e25,165
0,b72911e3,56
0,5d2989b9,1
0,d8961263,15
0,22b94f6f,18
0,58f6671d,6
0,91467a8d,14
0,43748f56,5
0,33cadb91,10
0,c3146482,0
0,5d3e2646,3
0,3e323c88,9
1,7bbef8ec,0
1,47387463,0
1,cd1bb66d,28
1,e49245cf,9
1,9bcc04b3,580
1,b7329703,233
1,4ace2e25,183
1,b72911e3,104
1,5d2989b9,1
1,d8961263,40
1,22b94f6f,27
1,58f6671d,5
1,91467a8d,20
1,43748f56,178
1,33cadb91,5
1,c3146482,0
1,5d3e2646,3
1,3e323c88,4
2,7bbef8ec,0
2,47387463,0
2,cd1bb66d,30
2,e49245cf,4
2,9bcc04b3,707
2,b7329703,234
2,4ace2e25,244
2,b72911e3,163
2,5d2989b9,3
2,d8961263,51
2,22b94f6f,307
2,58f6671d,4
2,91467a8d,32
2,43748f56,55
2,33cadb91,7
2,c3146482,0
2,5d3e2646,1
2,3e323c88,4
3,7bbef8ec,0
3,47387463,0
3,cd1bb66d,26
3,e49245cf,10
3,9bcc04b3,658
3,b7329703,394
3,4ace2e25,265
3,b72911e3,468
3,5d2989b9,1
3,d8961263,55
3,22b94f6f,43
3,58f6671d,5
3,91467a8d,31
3,43748f56,97
3,33cadb91,6
3,c3146482,0
3,5d3e2646,3
3,3e323c88,7
4,7bbef8ec,0
4,47387463,0
4,cd1bb66d,33
4,e49245cf,5
4,9bcc04b3,240
4,b7329703,16
4,4ace2e25,12
4,b72911e3,3
4,5d2989b9,0
4,d8961263,67
4,22b94f6f,96
4,58f6671d,311
4,91467a8d,49
4,43748f56,0
4,33cadb91,1
4,c3146482,23
4,5d3e2646,0
4,3e323c88,0
