run,query_hash,time_ms
0,7bbef8ec,0
0,47387463,0
0,cd1bb66d,19
0,e49245cf,3
0,9bcc04b3,242
0,b7329703,109
0,4ace2e25,107
0,b72911e3,48
0,5d2989b9,1
0,d8961263,15
0,22b94f6f,15
0,58f6671d,6
0,91467a8d,10
0,43748f56,4
0,33cadb91,5
0,c3146482,0
0,5d3e2646,2
0,3e323c88,5
1,7bbef8ec,0
1,47387463,0
1,cd1bb66d,28
1,e49245cf,5
1,9bcc04b3,334
1,b7329703,214
1,4ace2e25,165
1,b72911e3,130
1,5d2989b9,1
1,d8961263,29
1,22b94f6f,19
1,58f6671d,11
1,91467a8d,23
1,43748f56,6
1,33cadb91,7
1,c3146482,0
1,5d3e2646,1
1,3e323c88,3
2,7bbef8ec,0
2,47387463,0
2,cd1bb66d,15
2,e49245cf,3
2,9bcc04b3,246
2,b7329703,150
2,4ace2e25,116
2,b72911e3,113
2,5d2989b9,1
2,d8961263,28
2,22b94f6f,20
2,58f6671d,3
2,91467a8d,20
2,43748f56,216
2,33cadb91,5
2,c3146482,0
2,5d3e2646,1
2,3e323c88,3
3,7bbef8ec,0
3,47387463,0
3,cd1bb66d,34
3,e49245cf,4
3,9bcc04b3,151
3,b7329703,7
3,4ace2e25,5
3,b72911e3,3
3,5d2989b9,0
3,d8961263,46
3,22b94f6f,67
3,58f6671d,189
3,91467a8d,34
3,43748f56,0
3,33cadb91,1
3,c3146482,2
3,5d3e2646,0
3,3e323c88,0
4,7bbef8ec,0
4,47387463,0
4,cd1bb66d,30
4,e49245cf,9
4,9bcc04b3,167
4,b7329703,6
4,4ace2e25,5
4,b72911e3,3
4,5d2989b9,0
4,d8961263,41
4,22b94f6f,56
4,58f6671d,196
4,91467a8d,34
4,43748f56,0
4,33cadb91,1
4,c3146482,2
4,5d3e2646,0
4,3e323c88,0
5,7bbef8ec,0
5,47387463,0
5,cd1bb66d,29
5,e49245cf,7
5,9bcc04b3,152
5,b7329703,11
5,4ace2e25,7
5,b72911e3,4
5,5d2989b9,0
5,d8961263,46
5,22b94f6f,59
5,58f6671d,204
5,91467a8d,32
5,43748f56,0
5,33cadb91,3
5,c3146482,0
5,5d3e2646,2
5,3e323c88,0
